ID,sex,age,region,politica,region_custom,age_gen,z1,z2
10670,Femenino,54,O'Higgins,10,Region,Baby Boomer,0.45945174,0.19610405
10671,Femenino,30,Metropolitana de Santiago,9,Capital City,Millennial,0.8808724,0.28415436
10672,Masculino,37,Metropolitana de Santiago,3,Capital City,Millennial,0.28051072,0.26650804
10673,Masculino,36,Metropolitana de Santiago,6,Capital City,Millennial,0.40300125,0.30150017
10674,Masculino,36,Valparaíso,4,Region,Millennial,0.52158815,0.2066334
10675,Masculino,36,Metropolitana de Santiago,8,Capital City,Millennial,0.7521282,0.24449767
10676,Masculino,44,Metropolitana de Santiago,4,Capital City,Generation X,0.6913686,0.25523645
10677,Masculino,52,Metropolitana de Santiago,8,Capital City,Baby Boomer,0.7098984,0.21320342
10678,Masculino,30,Metropolitana de Santiago,3,Capital City,Millennial,0.4127161,0.31447002
10679,Masculino,32,Metropolitana de Santiago,6,Capital City,Millennial,0.3471701,0.70360845
10680,Femenino,29,Metropolitana de Santiago,9,Capital City,Millennial,0.79960215,0.39109713
10681,Masculino,45,Metropolitana de Santiago,3,Capital City,Generation X,0.39689088,0.2652856
10682,Masculino,32,Metropolitana de Santiago,6,Capital City,Millennial,0.6979053,0.3295555
10683,Masculino,33,O'Higgins,7,Region,Millennial,0.37026194,0.23848778
10684,Masculino,27,Metropolitana de Santiago,2,Capital City,Millennial,0.44262758,0.2429273
10685,Femenino,47,Metropolitana de Santiago,7,Capital City,Generation X,0.75918055,0.23938133
10686,Masculino,40,Metropolitana de Santiago,8,Capital City,Generation X,0.71518856,0.25105155
10687,Femenino,29,Antofagasta,3,Region,Millennial,0.4090801,0.2907356
10688,Femenino,44,Metropolitana de Santiago,3,Capital City,Generation X,0.3931977,0.5530972
10689,Femenino,37,Metropolitana de Santiago,8,Capital City,Millennial,0.34228662,0.3355832
10690,Masculino,33,Metropolitana de Santiago,6,Capital City,Millennial,0.4537539,0.26068446
10691,Masculino,32,Metropolitana de Santiago,8,Capital City,Millennial,0.71434397,0.26811135
10692,Masculino,44,Metropolitana de Santiago,3,Capital City,Generation X,0.74547637,0.27450955
10693,Masculino,36,Valparaíso,8,Region,Millennial,0.66466707,0.388308
10694,Femenino,45,Valparaíso,6,Region,Generation X,0.6796037,0.2506241
10695,Masculino,36,Metropolitana de Santiago,6,Capital City,Millennial,0.51218987,0.21661776
10696,Femenino,36,Metropolitana de Santiago,8,Capital City,Millennial,0.58670866,0.348535
10697,Masculino,45,Metropolitana de Santiago,3,Capital City,Generation X,0.25575066,0.42354146
10698,Masculino,29,Metropolitana de Santiago,3,Capital City,Millennial,0.60178906,0.66919863
10699,Femenino,26,Valparaíso,7,Region,Millennial,0.69463986,0.18670194
10700,Masculino,43,Metropolitana de Santiago,2,Capital City,Generation X,0.3338646,0.25455546
10701,Masculino,44,Biobío,2,Region,Generation X,0.30379075,0.2955504
10702,Masculino,32,Metropolitana de Santiago,8,Capital City,Millennial,0.58981633,0.6584428
10703,Masculino,27,Coquimbo,0,Region,Millennial,0.3572951,0.26615834
10704,Femenino,32,Metropolitana de Santiago,8,Capital City,Millennial,0.6278296,0.4737178
10705,Masculino,40,Metropolitana de Santiago,6,Capital City,Generation X,0.3755651,0.27762774
10706,Masculino,25,Metropolitana de Santiago,1,Capital City,Generation Z,0.41400737,0.2834844
10707,Masculino,37,Metropolitana de Santiago,7,Capital City,Millennial,0.74415326,0.3696583
10708,Masculino,35,Metropolitana de Santiago,7,Capital City,Millennial,0.83797896,0.26240245
10709,Masculino,37,Metropolitana de Santiago,6,Capital City,Millennial,0.7094846,0.3077425
10710,Femenino,31,Metropolitana de Santiago,8,Capital City,Millennial,0.6802165,0.2721705
10711,Masculino,45,Metropolitana de Santiago,4,Capital City,Generation X,0.82979476,0.23177004
10712,Masculino,27,Metropolitana de Santiago,4,Capital City,Millennial,0.6061768,0.6710514
10713,Masculino,35,Valparaíso,8,Region,Millennial,0.8946472,0.22123791
10715,Masculino,57,Valparaíso,6,Region,Baby Boomer,0.70028263,0.21532063
10716,Masculino,33,Metropolitana de Santiago,7,Capital City,Millennial,0.70334977,0.18058771
10717,Femenino,29,Metropolitana de Santiago,6,Capital City,Millennial,0.40438795,0.36129013
10718,Femenino,43,Valparaíso,7,Region,Generation X,0.45451176,0.22578949
10719,Femenino,29,Metropolitana de Santiago,6,Capital City,Millennial,0.39921746,0.25216106
10720,Masculino,23,Metropolitana de Santiago,6,Capital City,Generation Z,0.7057385,0.18337503
10721,Femenino,37,Metropolitana de Santiago,7,Capital City,Millennial,0.6826369,0.31332526
10722,Masculino,54,Antofagasta,3,Region,Baby Boomer,0.34648973,0.20491044
10723,Femenino,18,Metropolitana de Santiago,3,Capital City,Generation Z,0.53672546,0.26313388
10724,Femenino,72,Valparaíso,2,Region,Silent Generation,0.20967777,0.339466
10725,Masculino,50,Metropolitana de Santiago,8,Capital City,Generation X,0.67041373,0.30557406
10726,Masculino,47,Ñuble,8,Region,Generation X,0.594918,0.31247446
10727,Masculino,38,Metropolitana de Santiago,6,Capital City,Millennial,0.459865,0.3033349
10728,Masculino,41,Metropolitana de Santiago,2,Capital City,Generation X,0.56480974,0.3099233
10729,Masculino,48,Metropolitana de Santiago,3,Capital City,Generation X,0.77894324,0.38678834
10730,Masculino,39,Metropolitana de Santiago,10,Capital City,Generation X,0.82299954,0.6621598
10731,Masculino,34,Metropolitana de Santiago,7,Capital City,Millennial,0.6278294,0.24338497
10732,Masculino,29,Metropolitana de Santiago,7,Capital City,Millennial,0.43743205,0.15749301
10733,Masculino,26,Metropolitana de Santiago,6,Capital City,Millennial,0.49388957,0.33579183
10734,Masculino,59,Aysén,3,Region,Baby Boomer,0.38178122,0.31830457
10735,Masculino,31,Metropolitana de Santiago,3,Capital City,Millennial,0.34564286,0.36534345
10736,Masculino,22,Metropolitana de Santiago,10,Capital City,Generation Z,0.39822057,0.26144353
10737,Masculino,36,Metropolitana de Santiago,7,Capital City,Millennial,0.67204285,0.15461445
10738,Masculino,43,Metropolitana de Santiago,7,Capital City,Generation X,0.6046582,0.30522883
10739,Masculino,49,Valparaíso,7,Region,Generation X,0.7525952,0.36884496
10740,Masculino,45,Araucanía,4,Region,Generation X,0.6081448,0.1836885
10741,Femenino,35,Metropolitana de Santiago,3,Capital City,Millennial,0.38013503,0.32003823
10742,Masculino,31,Metropolitana de Santiago,8,Capital City,Millennial,0.49160412,0.21580179
10743,Masculino,37,Metropolitana de Santiago,4,Capital City,Millennial,0.37268147,0.40726954
10744,Masculino,29,Metropolitana de Santiago,6,Capital City,Millennial,0.5139215,0.5036649
10745,Masculino,35,Coquimbo,8,Region,Millennial,0.60534155,0.196054
10746,Femenino,60,Metropolitana de Santiago,6,Capital City,Baby Boomer,0.57538044,0.4074879
10747,Masculino,60,Metropolitana de Santiago,8,Capital City,Baby Boomer,0.7667162,0.75895363
10748,Masculino,45,Metropolitana de Santiago,3,Capital City,Generation X,0.665664,0.22799295
10749,Femenino,46,Biobío,3,Region,Generation X,0.33648434,0.2737303
10750,Masculino,28,Valparaíso,8,Region,Millennial,0.74667084,0.2707385
10751,Masculino,56,Los Lagos,0,Region,Baby Boomer,0.40839466,0.24092534
10752,Masculino,33,Metropolitana de Santiago,8,Capital City,Millennial,0.72323084,0.37181485
10753,Masculino,23,Metropolitana de Santiago,7,Capital City,Generation Z,0.9121037,0.29826286
10754,Masculino,41,Metropolitana de Santiago,9,Capital City,Generation X,0.5616915,0.25014794
10755,Masculino,47,Metropolitana de Santiago,0,Capital City,Generation X,0.2764149,0.27929658
10756,Femenino,40,Metropolitana de Santiago,2,Capital City,Generation X,0.3010872,0.33607015
10757,Femenino,38,Metropolitana de Santiago,3,Capital City,Millennial,0.30167323,0.25188288
10758,Masculino,28,Metropolitana de Santiago,8,Capital City,Millennial,0.7844748,0.35131952
10760,Masculino,57,Metropolitana de Santiago,7,Capital City,Baby Boomer,0.8551272,0.31559563
10761,Femenino,59,Metropolitana de Santiago,3,Capital City,Baby Boomer,0.466226,0.77552736
10762,Masculino,34,Metropolitana de Santiago,8,Capital City,Millennial,0.38813463,0.28727555
10763,Masculino,25,Valparaíso,10,Region,Generation Z,0.6984366,0.22035046
10764,Masculino,41,Metropolitana de Santiago,3,Capital City,Generation X,0.44944715,0.2736815
10765,Femenino,48,Metropolitana de Santiago,9,Capital City,Generation X,0.8376562,0.2678595
10766,Masculino,30,Metropolitana de Santiago,7,Capital City,Millennial,0.5490574,0.28970513
10767,Masculino,34,Tarapacá,6,Region,Millennial,0.4807188,0.23041534
10768,Masculino,57,Los Lagos,4,Region,Baby Boomer,0.45189896,0.26667595
10769,Masculino,34,Metropolitana de Santiago,6,Capital City,Millennial,0.73237175,0.30829698
10770,Femenino,35,Metropolitana de Santiago,0,Capital City,Millennial,0.36457086,0.24577625
10771,Masculino,35,Valparaíso,6,Region,Millennial,0.68624794,0.19894142
10772,Masculino,33,Metropolitana de Santiago,6,Capital City,Millennial,0.8095807,0.22883244
10773,Masculino,40,Los Ríos,7,Region,Generation X,0.8226674,0.37121117
10774,Masculino,41,Biobío,8,Region,Generation X,0.2945745,0.20865658
10775,Femenino,31,Metropolitana de Santiago,8,Capital City,Millennial,0.7567618,0.37951773
10776,Masculino,48,Metropolitana de Santiago,3,Capital City,Generation X,0.41205412,0.2657561
10777,Masculino,38,Tarapacá,4,Region,Millennial,0.26065525,0.23075998
10778,Masculino,53,Araucanía,3,Region,Baby Boomer,0.39132226,0.44179296
10779,Masculino,55,Metropolitana de Santiago,3,Capital City,Baby Boomer,0.25988927,0.44695997
10780,Masculino,27,Metropolitana de Santiago,7,Capital City,Millennial,0.8244247,0.20875484
